"ID_muestra","N_Vaca","Muestreo","ED","DEL","Estado","Estado_n","NP","PL","CE","CCS","SCCS","Resultado","","","",""
"846-2","846","2","56","255","Gestante","1","2","11.7","6.2","3560000","8.15","1","","","",""
"52-10","52","10","108","293","Gestante","1","6","10.2","6.5","3359000","8.07","1","","","",""
"822-4","822","4","60","114","Inseminada","3","3","16.5","7.5","1763000","7.14","1","","","",""
"806-3","806","3","64","27","Abierta","2","3","11","5.2","1761000","7.14","1","","","",""
"977-4","977","4","28","99","Inseminada","3","1","12.8","6","1736000","7.12","1","","","",""
"1939-2","1939","2","85","249","Gestante","1","5","9.4","8.6","1806000","7.17","1","","","",""
"904-4","904","4","43","3","Abierta","2","2","13.2","7.1","1793000","7.16","1","","","",""
"1626-6","1626","6","105","189","Gestante","1","7","16.7","6.7","1784000","7.16","1","","","",""
"52-2","52","2","106","236","Gestante","1","6","13.1","7.7","1665000","7.06","1","","","",""
"845-10","845","10","59","84","Abierta","2","3","13.7","7.3","1660000","7.05","1","","","",""
"52-8","52","8","107","278","Gestante","1","6","11.5","8.4","1651000","7.05","1","","","",""
"822-2","822","2","60","100","Inseminada","3","3","8.6","8.3","1734000","7.12","1","","","",""
"1867-7","1867","7","51","182","Inseminada","3","2","15.9","6","1721000","7.11","1","","","",""
"1241-1","1241","1","101","64","Abierta","2","7","20.1","9.9","1678000","7.07","1","","","",""
"653-7","653","7","120","281","No gestante","#N/A","6","9.6","5.4","1857000","7.21","1","","","",""
"806-11","806","11","66","84","Abierta","2","3","17.1","7.3","2206000","7.46","1","","","",""
"845-2","845","2","57","27","Abierta","2","3","19.1","7.3","2170000","7.44","1","","","",""
"1112-4","1112","4","100","292","Gestante","1","4","16.3","5.9","2076000","7.38","1","","","",""
"212-9","212","9","92","66","Abierta","2","4","12.5","7.1","2247000","7.49","1","","","",""
"845-4","845","4","57","41","Abierta","2","3","15.7","7.3","2223000","7.47","1","","","",""
"1626-9","1626","9","105","210","Gestante","1","7","15.9","7","2212000","7.47","1","","","",""
"845-3","845","3","57","34","Abierta","2","3","11.1","6.4","2032000","7.34","1","","","",""
"845-9","845","9","59","76","Abierta","2","3","13.9","7.5","1957000","7.29","1","","","",""
"846-3","846","3","56","262","Gestante","1","2","11","6.3","1870000","7.22","1","","","",""
"759-6","759","6","78","91","Inseminada","3","5","20.5","7.3","2039000","7.35","1","","","",""
